#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GNAT16	gpm647	4577.GRMZM2G100872_P01	4577.GRMZM2G063517_P02	0.156	0	0	0	0.336	0.079	0	0.319	0.601
GNAT16	GRMZM2G389240_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G389240_P01	0	0	0	0	0.542	0	0	0	0.542
GNAT16	GRMZM2G150912_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G150912_P01	0	0	0	0	0	0	0	0.668	0.668
GNAT16	MOCS3-2	4577.GRMZM2G100872_P01	4577.GRMZM2G157836_P01	0	0	0	0	0.093	0.266	0	0.570	0.688
GNAT16	URM1	4577.GRMZM2G100872_P01	4577.GRMZM2G179689_P01	0	0	0	0	0.093	0.337	0	0.750	0.836
GNAT16	GRMZM2G468932_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G468932_P01	0.158	0	0	0	0.839	0	0	0	0.858
GNAT16	GRMZM2G379021_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G379021_P01	0	0	0	0	0.812	0.124	0	0.545	0.918
GNAT16	GRMZM2G331015_P01	4577.GRMZM2G100872_P01	4577.GRMZM2G331015_P01	0	0	0	0	0.074	0.849	0	0.755	0.962
GRMZM2G019597_P03	cl27369_1	4577.GRMZM2G019597_P03	4577.AC217358.3_FGP003	0	0	0	0	0.448	0	0	0.130	0.499
GRMZM2G019597_P03	GRMZM2G379021_P01	4577.GRMZM2G019597_P03	4577.GRMZM2G379021_P01	0	0	0	0	0.448	0	0	0.130	0.499
GRMZM2G019597_P03	GRMZM2G042371_P01	4577.GRMZM2G019597_P03	4577.GRMZM2G042371_P01	0	0	0	0	0.229	0.469	0	0.225	0.655
GRMZM2G019597_P03	GRMZM2G150912_P01	4577.GRMZM2G019597_P03	4577.GRMZM2G150912_P01	0.152	0	0	0	0	0	0	0.647	0.687
GRMZM2G019597_P03	pco061701	4577.GRMZM2G019597_P03	4577.GRMZM2G052178_P02	0	0	0	0	0.717	0	0	0	0.717
GRMZM2G019597_P03	GRMZM2G044848_P01	4577.GRMZM2G019597_P03	4577.GRMZM2G044848_P01	0	0	0	0	0.822	0	0	0.047	0.823
GRMZM2G019597_P03	GRMZM2G389240_P01	4577.GRMZM2G019597_P03	4577.GRMZM2G389240_P01	0	0	0	0	0.822	0	0	0.047	0.823
GRMZM2G019597_P03	GRMZM2G104983_P01	4577.GRMZM2G019597_P03	4577.GRMZM2G104983_P01	0	0	0	0	0.459	0	0	0.734	0.849
GRMZM2G019597_P03	GRMZM2G468932_P01	4577.GRMZM2G019597_P03	4577.GRMZM2G468932_P01	0	0	0	0	0.839	0	0	0.171	0.860
GRMZM2G019597_P03	gpm647	4577.GRMZM2G019597_P03	4577.GRMZM2G063517_P02	0.138	0	0	0	0.450	0.826	0	0.682	0.970
GRMZM2G042371_P01	cl27369_1	4577.GRMZM2G042371_P01	4577.AC217358.3_FGP003	0	0	0	0	0.161	0.270	0	0.722	0.814
GRMZM2G042371_P01	Pco083693	4577.GRMZM2G042371_P01	4577.GRMZM2G010649_P03	0	0	0	0	0.053	0	0.429	0.832	0.901
GRMZM2G042371_P01	IDP267	4577.GRMZM2G042371_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.488	0.969	0.638	0.866	0.999
GRMZM2G042371_P01	IDP1417	4577.GRMZM2G042371_P01	4577.GRMZM2G019200_P01	0	0	0	0	0.052	0.929	0	0.835	0.987
GRMZM2G042371_P01	GRMZM2G104983_P01	4577.GRMZM2G042371_P01	4577.GRMZM2G104983_P01	0	0	0	0	0.543	0	0	0	0.543
GRMZM2G042371_P01	MOCS3-2	4577.GRMZM2G042371_P01	4577.GRMZM2G157836_P01	0	0	0	0	0.045	0.192	0	0.669	0.722
GRMZM2G042371_P01	GRMZM2G379021_P01	4577.GRMZM2G042371_P01	4577.GRMZM2G379021_P01	0	0	0	0	0.161	0.270	0	0.722	0.814
GRMZM2G042371_P01	GRMZM2G055172_P01	4577.GRMZM2G042371_P01	4577.GRMZM2G055172_P01	0	0	0	0	0.109	0	0	0.876	0.884
GRMZM2G042371_P01	URM1	4577.GRMZM2G042371_P01	4577.GRMZM2G179689_P01	0	0	0	0	0.048	0.304	0	0.862	0.900
GRMZM2G042371_P01	GRMZM2G150912_P01	4577.GRMZM2G042371_P01	4577.GRMZM2G150912_P01	0	0	0	0	0	0	0	0.905	0.905
GRMZM2G042371_P01	gpm647	4577.GRMZM2G042371_P01	4577.GRMZM2G063517_P02	0	0	0	0	0.812	0	0	0.583	0.918
GRMZM2G042371_P01	GRMZM2G331015_P01	4577.GRMZM2G042371_P01	4577.GRMZM2G331015_P01	0	0	0	0	0	0.841	0	0.858	0.976
GRMZM2G042371_P01	GRMZM2G359735_P01	4577.GRMZM2G042371_P01	4577.GRMZM2G359735_P01	0	0	0	0	0.839	0.943	0.633	0.857	0.999
GRMZM2G044848_P01	IDP267	4577.GRMZM2G044848_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.550	0	0	0.081	0.568
GRMZM2G044848_P01	GRMZM2G359735_P01	4577.GRMZM2G044848_P01	4577.GRMZM2G359735_P01	0	0	0	0	0.542	0	0	0	0.542
GRMZM2G044848_P01	GRMZM2G055172_P01	4577.GRMZM2G044848_P01	4577.GRMZM2G055172_P01	0	0	0	0	0.652	0	0	0	0.652
GRMZM2G044848_P01	GRMZM2G389240_P01	4577.GRMZM2G044848_P01	4577.GRMZM2G389240_P01	0	0	0	0.966	0.839	0.847	0	0.460	0.974
GRMZM2G044848_P01	GRMZM2G104983_P01	4577.GRMZM2G044848_P01	4577.GRMZM2G104983_P01	0	0	0	0	0.840	0.855	0	0.188	0.979
GRMZM2G044848_P01	gpm647	4577.GRMZM2G044848_P01	4577.GRMZM2G063517_P02	0	0	0	0	0.839	0.792	0	0.573	0.984
GRMZM2G044848_P01	pco061701	4577.GRMZM2G044848_P01	4577.GRMZM2G052178_P02	0	0	0	0	0.841	0.872	0	0.662	0.992
GRMZM2G044848_P01	GRMZM2G468932_P01	4577.GRMZM2G044848_P01	4577.GRMZM2G468932_P01	0	0	0	0	0.841	0.941	0.639	0.516	0.998
GRMZM2G055172_P01	Pco083693	4577.GRMZM2G055172_P01	4577.GRMZM2G010649_P03	0	0	0	0	0	0	0	0.848	0.848
GRMZM2G055172_P01	IDP267	4577.GRMZM2G055172_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.473	0	0	0.857	0.921
GRMZM2G055172_P01	GRMZM2G389240_P01	4577.GRMZM2G055172_P01	4577.GRMZM2G389240_P01	0	0	0	0	0.652	0	0	0	0.652
GRMZM2G055172_P01	GRMZM2G359735_P01	4577.GRMZM2G055172_P01	4577.GRMZM2G359735_P01	0	0	0	0	0	0	0	0.727	0.727
GRMZM2G055172_P01	gpm647	4577.GRMZM2G055172_P01	4577.GRMZM2G063517_P02	0	0	0	0	0.783	0	0	0	0.783
GRMZM2G104983_P01	IDP267	4577.GRMZM2G104983_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.869	0	0	0	0.869
GRMZM2G104983_P01	pco061701	4577.GRMZM2G104983_P01	4577.GRMZM2G052178_P02	0	0	0	0	0.943	0	0	0	0.943
GRMZM2G104983_P01	gpm647	4577.GRMZM2G104983_P01	4577.GRMZM2G063517_P02	0	0	0	0	0.912	0.668	0	0.153	0.973
GRMZM2G104983_P01	GRMZM2G389240_P01	4577.GRMZM2G104983_P01	4577.GRMZM2G389240_P01	0	0	0	0	0.840	0.855	0	0.188	0.979
GRMZM2G104983_P01	GRMZM2G468932_P01	4577.GRMZM2G104983_P01	4577.GRMZM2G468932_P01	0	0	0	0	0.841	0.855	0	0.311	0.982
GRMZM2G150912_P01	cl27369_1	4577.GRMZM2G150912_P01	4577.AC217358.3_FGP003	0	0	0	0	0	0	0	0.891	0.891
GRMZM2G150912_P01	IDP267	4577.GRMZM2G150912_P01	4577.GRMZM2G018223_P01	0	0	0	0	0	0	0	0.646	0.646
GRMZM2G150912_P01	gpm647	4577.GRMZM2G150912_P01	4577.GRMZM2G063517_P02	0.147	0	0	0	0	0	0	0.354	0.425
GRMZM2G150912_P01	MOCS3-2	4577.GRMZM2G150912_P01	4577.GRMZM2G157836_P01	0.128	0	0	0	0	0	0	0.513	0.557
GRMZM2G150912_P01	GRMZM2G359735_P01	4577.GRMZM2G150912_P01	4577.GRMZM2G359735_P01	0	0	0	0	0	0	0	0.668	0.668
GRMZM2G150912_P01	GRMZM2G379021_P01	4577.GRMZM2G150912_P01	4577.GRMZM2G379021_P01	0	0	0	0	0	0	0	0.891	0.891
GRMZM2G150912_P01	GRMZM2G331015_P01	4577.GRMZM2G150912_P01	4577.GRMZM2G331015_P01	0	0	0	0	0.065	0	0	0.976	0.976
GRMZM2G331015_P01	cl27369_1	4577.GRMZM2G331015_P01	4577.AC217358.3_FGP003	0	0	0	0	0.054	0.821	0.705	0.762	0.986
GRMZM2G331015_P01	Pco083693	4577.GRMZM2G331015_P01	4577.GRMZM2G010649_P03	0	0	0	0	0	0	0	0.720	0.720
GRMZM2G331015_P01	IDP267	4577.GRMZM2G331015_P01	4577.GRMZM2G018223_P01	0	0	0	0	0	0.853	0	0.811	0.971
GRMZM2G331015_P01	IDP1417	4577.GRMZM2G331015_P01	4577.GRMZM2G019200_P01	0	0	0	0	0	0	0	0.850	0.850
GRMZM2G331015_P01	MOCS3-2	4577.GRMZM2G331015_P01	4577.GRMZM2G157836_P01	0	0	0	0	0	0	0	0.592	0.592
GRMZM2G331015_P01	URM1	4577.GRMZM2G331015_P01	4577.GRMZM2G179689_P01	0	0	0	0	0.083	0	0	0.818	0.825
GRMZM2G331015_P01	GRMZM2G359735_P01	4577.GRMZM2G331015_P01	4577.GRMZM2G359735_P01	0	0	0	0	0.074	0.849	0	0.755	0.962
GRMZM2G331015_P01	GRMZM2G379021_P01	4577.GRMZM2G331015_P01	4577.GRMZM2G379021_P01	0	0	0	0	0.054	0.821	0.705	0.762	0.986
GRMZM2G359735_P01	cl27369_1	4577.GRMZM2G359735_P01	4577.AC217358.3_FGP003	0	0	0	0	0.812	0.124	0	0.545	0.918
GRMZM2G359735_P01	Pco083693	4577.GRMZM2G359735_P01	4577.GRMZM2G010649_P03	0	0	0	0	0.053	0.045	0.373	0.756	0.843
GRMZM2G359735_P01	IDP267	4577.GRMZM2G359735_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.121	0.943	0.633	0.870	0.997
GRMZM2G359735_P01	IDP1417	4577.GRMZM2G359735_P01	4577.GRMZM2G019200_P01	0	0	0	0	0.049	0.874	0	0.838	0.978
GRMZM2G359735_P01	pco061701	4577.GRMZM2G359735_P01	4577.GRMZM2G052178_P02	0	0	0	0	0.519	0	0	0	0.519
GRMZM2G359735_P01	gpm647	4577.GRMZM2G359735_P01	4577.GRMZM2G063517_P02	0.156	0	0	0	0.336	0.079	0	0.319	0.601
GRMZM2G359735_P01	MOCS3-2	4577.GRMZM2G359735_P01	4577.GRMZM2G157836_P01	0	0	0	0	0.093	0.266	0	0.570	0.688
GRMZM2G359735_P01	URM1	4577.GRMZM2G359735_P01	4577.GRMZM2G179689_P01	0	0	0	0	0.093	0.337	0	0.750	0.836
GRMZM2G359735_P01	GRMZM2G389240_P01	4577.GRMZM2G359735_P01	4577.GRMZM2G389240_P01	0	0	0	0	0.542	0	0	0	0.542
GRMZM2G359735_P01	GRMZM2G468932_P01	4577.GRMZM2G359735_P01	4577.GRMZM2G468932_P01	0.158	0	0	0	0.839	0	0	0	0.858
GRMZM2G359735_P01	GRMZM2G379021_P01	4577.GRMZM2G359735_P01	4577.GRMZM2G379021_P01	0	0	0	0	0.812	0.124	0	0.545	0.918
GRMZM2G379021_P01	pco061701	4577.GRMZM2G379021_P01	4577.GRMZM2G052178_P02	0	0	0	0	0.457	0	0	0	0.457
GRMZM2G379021_P01	URM1	4577.GRMZM2G379021_P01	4577.GRMZM2G179689_P01	0	0	0	0	0.125	0.270	0	0.231	0.465
GRMZM2G379021_P01	GRMZM2G468932_P01	4577.GRMZM2G379021_P01	4577.GRMZM2G468932_P01	0	0	0	0	0.839	0	0	0	0.839
GRMZM2G389240_P01	IDP267	4577.GRMZM2G389240_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.550	0	0	0.081	0.568
GRMZM2G389240_P01	pco061701	4577.GRMZM2G389240_P01	4577.GRMZM2G052178_P02	0	0	0	0	0.841	0.872	0	0.662	0.992
GRMZM2G389240_P01	gpm647	4577.GRMZM2G389240_P01	4577.GRMZM2G063517_P02	0	0	0	0	0.839	0.792	0	0.573	0.984
GRMZM2G389240_P01	GRMZM2G468932_P01	4577.GRMZM2G389240_P01	4577.GRMZM2G468932_P01	0	0	0	0	0.841	0.941	0.639	0.516	0.998
GRMZM2G468932_P01	cl27369_1	4577.GRMZM2G468932_P01	4577.AC217358.3_FGP003	0	0	0	0	0.839	0	0	0	0.839
GRMZM2G468932_P01	pco061701	4577.GRMZM2G468932_P01	4577.GRMZM2G052178_P02	0	0	0	0	0.845	0	0	0.567	0.930
GRMZM2G468932_P01	gpm647	4577.GRMZM2G468932_P01	4577.GRMZM2G063517_P02	0.161	0	0	0	0.810	0.751	0	0.460	0.975
GRMZM2G468932_P01	URM1	4577.GRMZM2G468932_P01	4577.GRMZM2G179689_P01	0	0	0	0	0.650	0	0	0	0.650
IDP1417	Pco083693	4577.GRMZM2G019200_P01	4577.GRMZM2G010649_P03	0	0	0	0	0.051	0	0	0.448	0.453
IDP1417	IDP267	4577.GRMZM2G019200_P01	4577.GRMZM2G018223_P01	0	0	0	0	0.073	0.851	0	0.890	0.983
IDP1417	MOCS3-2	4577.GRMZM2G019200_P01	4577.GRMZM2G157836_P01	0	0	0	0	0	0.068	0	0.655	0.664
IDP1417	URM1	4577.GRMZM2G019200_P01	4577.GRMZM2G179689_P01	0	0	0	0	0	0	0	0.838	0.838
IDP267	Pco083693	4577.GRMZM2G018223_P01	4577.GRMZM2G010649_P03	0	0	0	0	0.045	0.095	0.429	0.856	0.919
IDP267	MOCS3-2	4577.GRMZM2G018223_P01	4577.GRMZM2G157836_P01	0	0	0	0	0.043	0.336	0	0.669	0.771
IDP267	URM1	4577.GRMZM2G018223_P01	4577.GRMZM2G179689_P01	0	0	0	0	0	0.387	0	0.862	0.911
IDP267	gpm647	4577.GRMZM2G018223_P01	4577.GRMZM2G063517_P02	0	0	0	0	0.859	0	0	0.569	0.936
MOCS3-2	Pco083693	4577.GRMZM2G157836_P01	4577.GRMZM2G010649_P03	0	0	0	0	0	0	0	0.562	0.562
MOCS3-2	URM1	4577.GRMZM2G157836_P01	4577.GRMZM2G179689_P01	0	0	0	0	0.045	0.870	0.800	0.677	0.990
Pco083693	URM1	4577.GRMZM2G010649_P03	4577.GRMZM2G179689_P01	0	0	0	0	0	0	0	0.725	0.725
URM1	cl27369_1	4577.GRMZM2G179689_P01	4577.AC217358.3_FGP003	0	0	0	0	0.125	0.270	0	0.231	0.465
URM1	gpm647	4577.GRMZM2G179689_P01	4577.GRMZM2G063517_P02	0	0	0	0	0.057	0.086	0	0.441	0.476
cl27369_1	pco061701	4577.AC217358.3_FGP003	4577.GRMZM2G052178_P02	0	0	0	0	0.457	0	0	0	0.457
gpm647	pco061701	4577.GRMZM2G063517_P02	4577.GRMZM2G052178_P02	0	0	0	0	0.964	0.055	0	0.132	0.967
